Issuer Ticker,Issuer Name,Sales - 1 Yr Growth,Profit Margin,Return on Assets,Offer Size (M),Shares Outstanding (M),Offer Price,Offer To 1st Close,Market Cap at Offer (M),Trade Date (US),cusip,Cash Flow per Share,Offer Size (M).1,Shares Outstanding (M).1,Instit Owner (% Shares Out),Instit Owner (Shares Held),Month/Date,Month of Quarter,Real GDP Per Capita,OECD Leading Indicator,Interest Rate,Seasonally Adjusted Unemployment Rate,CPI Growth Rate,Filing Term Price Range,Priced Range,Industry Sector,Industry Group,Industry Subgroup,Underpriced
IRGTQ,Ignite Restaurant Group Inc,-8.4,-9.8,-27.3,92.8844,24.7509,14,22.3571434,346.51,5/11/12,451730105,0.2,92.8844,24.7509,0.0458727,12000,5/1/12,4/1/12,51702.00,99.83138197,0.75,8.313429668,-0.117347937,14-Dec,Priced Within Range,5,17,33,1
IRMD,iRadimed Corp,31.8,22.3,16.5,14.49,10.7184,6.25,58.40000153,66.99,7/16/14,46266A109,0.9,14.49,10.7184,50.1419,6301000,7/1/14,7/1/14,53340.00,100.8354317,0.75,6.275748001,-0.039019396,6-May,Priced Above Range,0,22,61,1
IROQ,IF Bancorp Inc,-1,20.8,0.7,44.965,4.7702,10,16.70000076,47.7,7/8/11,44951J105,2.8,44.965,4.7702,36.8197,1228900,7/1/11,7/1/11,50769.00,99.50703914,0.75,9.061306168,0.088604567,10-Oct,Priced Within Range,3,20,110,1
IRT,Independence Realty Trust Inc,18.1,17.8,2.6,34,9.64354,8.5,-0.588235319,81.97,8/13/13,45378A106,0.4,34,9.64354,91.3035,204588000,8/1/13,7/1/13,52284.00,100.641767,0.75,7.391202966,0.120293156,11-Oct,Priced Below Range,3,3,3,0
IRTC,iRhythm Technologies Inc,21.7,-31.4,-27.9,123.049,22.0672,17,53.23529434,375.142,10/20/16,450056106,-1.2,123.049,22.0672,111.556,33590600,10/1/16,10/1/16,54714.00,99.43029734,1,4.98714224,0.124674851,13 - 15,Priced Above Range,0,22,61,1
IRWD,Ironwood Pharmaceuticals Inc,6.2,127.7,17.4,215.625,97.4129,11.25,3.555555582,1095.9,2/3/10,46333X108,1.6,215.625,97.4129,141.976,217785000,2/1/10,1/1/10,50036.00,99.50065669,0.75,9.926923507,0.024920738,14 - 16,Priced Below Range,0,13,15,1
ISBC,Investors Bancorp Inc,-8.2,37.5,1.1,516.271,0,10,0.200000003,0,10/11/05,46146L101,2.1,516.271,0,38.8335,96710500,10/1/05,10/1/05,50629.00,100.631082,4.75,4.994301521,0.201207243,10-Oct,Priced Within Range,3,20,28,1
ISIL,Renesas Electronics America In,3.9,8.8,4.1,500,90.484,25,116,2262.1,2/25/00,46069S109,0.7,500,90.484,0.0324149,44664,2/1/00,1/1/00,45983.00,101.1578089,5.24,4.108885838,0.592417062,18 - 20,Priced Above Range,1,4,4,1
ISRG,Intuitive Surgical Inc,31,29.8,10.5,45,37.4293,9,0.347222209,336.86,6/13/00,46120E602,5.8,45,37.4293,90.1482,318570000,6/1/00,4/1/00,46704.00,100.6856604,6,4.016709703,0.524781341,10-Sep,Priced Within Range,0,22,78,1
ISSC,Innovative Solutions and Suppo,6.7,21.9,18.6,33,12.1216,11,10.79545498,133.34,8/4/00,45769N105,0.2,33,12.1216,24.2515,4189740,8/1/00,7/1/00,46624.00,100.3264793,6,4.15367782,0,12-Oct,Priced Within Range,8,45,207,1
ISTR,Investar Holding Corp,1.6,8.3,1.2,45.9942,7.2303,14,1.428571463,101.22,7/1/14,46134L105,3.2,45.9942,7.2303,62.0056,6132900,7/1/14,7/1/14,53340.00,100.8354317,0.75,6.275748001,-0.039019396,15 - 17,Priced Below Range,3,9,91,1
ITC,ITC Holdings Corp,3.9,30.1,3.6,330.625,33.2178,23,14.78260899,764.01,7/26/05,465685105,3.5,330.625,33.2178,0.0482585,108197,7/1/05,7/1/05,50470.00,100.3384397,4.25,5.02888944,0.462724936,19 - 21,Priced Above Range,7,39,208,1
ITGR,Integer Holdings Corp,13.7,7.9,2.8,80,28.5216,16,42.96875,456.35,9/29/00,45826H109,4.7,80,28.5216,106.118,35158000,9/1/00,7/1/00,46624.00,100.100302,6,3.95818563,0.520833333,15 - 17,Priced Within Range,0,22,61,1
ITMN,InterMune Inc,168.7,-312.1,-42.3,125,0,20,25,0,3/24/00,45884X103,-2.5,125,0,0.138929,150000,3/1/00,1/1/00,45983.00,101.071946,5.34,4.089661605,0.824499411,17 - 19,Priced Above Range,0,21,29,1
IVTY,Invuity Inc,22,-100.7,-75.9,55.2,13.3011,12,24.33333397,152.413,6/15/15,46187J205,-2.2,55.2,13.3011,0.128771,31000,6/1/15,4/1/15,54021.00,100.1249321,0.75,5.350969219,0.350287,14 - 16,Priced Below Range,0,22,61,1
JAG,Jagged Peak Energy Inc,106.8,30.2,8.9,473.985,212.938,15,-4.466666698,3194.07,1/27/17,47009K107,2,473.985,212.938,0.976058,2083110,1/1/17,1/1/17,54866.00,99.76074483,1.25,4.769484484,0.582772789,16 - 18,Priced Below Range,2,28,43,0
JAGX,Jaguar Health Inc,-53.8,-1213.2,-90.2,20.02,8.1199,7,-3.142857075,56.8393,5/13/15,47010C607,-0.7,20.02,8.1199,3.94064,5643890,5/1/15,4/1/15,54021.00,100.231857,0.75,5.674303505,0.509723203,7-Jul,Priced Within Range,0,13,16,0
JAMF,Jamf Holding Corp,35.9,-20.5,-11,538.2,116.362,26,50.76922989,3025.41,7/22/20,47074L105,0.5,538.2,116.362,103.804,126005000,7/1/20,7/1/20,56484.00,97.81746245,0.25,9.875006693,0.50582435,21 - 23,Priced Above Range,1,5,5,1
JBLU,JetBlue Airways Corp,104.1,-3,-3.7,182.16,40.9455,27,66.66666412,1105.53,4/11/02,477143101,5.1,182.16,40.9455,73.7898,238989000,4/1/02,4/1/02,46866.00,99.50925318,1.25,6.041734332,0.559284116,25 - 26,Priced Above Range,5,37,67,1
JCAP,NexPoint Storage Partners Inc,44.4,98.4,-6.2,115,6.01,20,1.549999952,120.2,3/27/15,476405105,-0.6,115,6.01,26.6741,6205240,3/1/15,1/1/15,53806.00,100.4217937,0.75,5.536422193,0.595172161,19 - 21,Priced Within Range,3,41,87,1
JELD,JELD-WEN Holding Inc,12.6,3.5,1.4,661.25,104.882,23,13.56521702,2412.29,1/27/17,47580P103,1.8,661.25,104.882,107.599,90746400,1/1/17,1/1/17,54866.00,99.76074483,1.25,4.769484484,0.582772789,21 - 23,Priced Within Range,8,47,209,1
JHF,John Hancock Financial Service,18.7,8,0.6,1734,331.7,17,3.676470518,5638.9,1/26/00,41014S106,10.6,1734,331.7,0.0728972,213819,1/1/00,1/1/00,45983.00,101.2149375,5,4.065654619,0.297088532,16 - 18,Priced Within Range,3,18,60,1
JILL,J Jill Inc,37.1,-4.8,10.1,162.912,43.7479,13,-2.692307711,568.723,3/9/17,46620W201,6,162.912,43.7479,72.4412,7351700,3/1/17,1/1/17,54866.00,99.85631202,1.5,4.473768194,0.081279787,14 - 16,Priced Below Range,5,17,23,0
JIVE,Jive Software Inc,4.2,-6.8,-3.6,161.275,59.0663,12,25.41666603,708.8,12/13/11,47760A108,0.0553075,161.275,59.0663,0.00359064,2864,12/1/11,10/1/11,51232.00,99.52689513,0.75,8.695432352,-0.246651638,10-Aug,Priced Above Range,1,5,5,1
JMP,JMP Group LLC,4.8,-3.8,15.7,101.189,21.9999,11,11.81818199,242,5/11/07,46629U107,1.3,101.189,21.9999,0.199202,40159,5/1/07,4/1/07,51705.00,101.897221,6.25,4.507395483,0.611071867,10.50 - 12.50,Priced Within Range,3,26,76,1
JNCE,Jounce Therapeutics Inc,-56.8,-337.7,-53,117.117,32.1218,16,7.8125,513.949,1/27/17,481116101,-1.6,117.117,32.1218,79.4416,41066700,1/1/17,1/1/17,54866.00,99.76074483,1.25,4.769484484,0.582772789,13 - 15,Priced Above Range,0,13,15,1
JONEQ,Jones Energy Inc,-7.4,-546.2,-122,187.5,0,15,-7.800000191,0,7/24/13,48019R306,13.4,187.5,0,4.18046,291683,7/1/13,7/1/13,52284.00,100.6172944,0.75,7.464771304,0.039399753,17 - 19,Priced Below Range,2,28,43,0
JSYNU,iSun Inc,115.2,-13.7,-14.5,39,4.1945,10,-0.5,41.945,3/3/16,47632B201,-0.5,39,4.1945,23.2387,777100,3/1/16,1/1/16,54267.00,99.15532342,1,5.085179368,0.430600014,10-Oct,Priced Within Range,2,15,19,0
JUNO,Juno Therapeutics Inc,40.9,-390.7,-31.4,304.231,79.5924,24,45.83333206,1910.22,12/19/14,48205A109,-2.1,304.231,79.5924,0.559031,649065,12/1/14,10/1/14,53464.00,100.70291,0.75,5.685242715,-0.567010091,21 - 23,Priced Above Range,0,21,29,1
JWS/U,Cano Health Inc,93.5,-1.1,-0.9,690,69,10,2.5,690,5/14/20,N.A.,-0.7,690,69,0.113805,85354,5/1/20,4/1/20,52394.00,94.70713847,0.25,13.66734626,0.001950162,10-Oct,Priced Within Range,0,0,56,1
JYNT,Joint Corp/The,37.7,8.1,0.3,22.425,9.6216,6.5,1.230769277,59.6154,11/11/14,47973J102,1,22.425,9.6216,110.683,16081900,11/1/14,10/1/14,53464.00,100.7732648,0.75,5.911112923,-0.539941794,7-Jun,Priced Within Range,0,0,35,1
KALA,Kala Pharmaceuticals Inc,76.6,-1268.7,-91,103.5,24.1834,15,23.26666641,362.751,7/20/17,483119202,-83,103.5,24.1834,58.8669,893847,7/1/17,7/1/17,55413.00,99.98293814,1.75,4.400611223,-0.068992264,14 - 16,Priced Within Range,0,13,15,1
KAR,KAR Auction Services Inc,2.9,2.9,3.3,331.873,27.656,12,0.25,331.87,12/11/09,48238T109,3.3,331.873,27.656,127.55,138912000,12/1/09,10/1/09,49886.00,98.94790322,0.5,10.0976818,-0.176119817,15 - 17,Priced Below Range,5,58,197,1
KBNT,Kubient Inc,-5.6,-375.9,-62.5,14.375,0,5,-17,0,8/12/20,50116V107,-0.5,14.375,0,20.3646,2933010,8/1/20,7/1/20,56484.00,98.41453353,0.25,8.302616451,0.315321052,7-May,Priced Within Range,1,5,5,0
KBR,KBR Inc,27.2,0.2,2.9,544.272,167.643,17,22.05882263,2849.93,11/16/06,48242W106,1.9,544.272,167.643,111.297,152696000,11/1/06,10/1/06,51455.00,101.2916395,6.25,4.568466443,-0.148662042,15 - 17,Priced Within Range,1,1,31,1
KDMN,Kadmon Holdings Inc,62.6,-1314.1,-48.5,75,44.87,12,-19.16666603,538.44,7/27/16,48283N106,-0.5,75,44.87,13.4876,24078200,7/1/16,7/1/16,54549.00,99.20439166,1,4.892736309,-0.16181364,12-Dec,Priced Within Range,0,21,29,0
KDNY,Chinook Therapeutics Inc,6142.4,-199.3,-18.3,136.85,60.0005,17,147.0588226,1020.01,4/15/15,16961L106,-2.2,136.85,60.0005,101.946,65184800,4/1/15,4/1/15,54021.00,100.329222,0.75,5.52420878,0.203287325,17 - 17,Priced Within Range,0,21,29,1
KERX,Keryx Biopharmaceuticals Inc,89.6,-269.5,-55.8,46,18.8233,10,0.625,188.23,7/28/00,492515101,-0.8,46,18.8233,0.893246,1075250,7/1/00,7/1/00,46624.00,100.5207065,6,4.063214054,0.232018561,12-Oct,Priced Within Range,0,13,15,1
KEYW,KeyW Holding Corp/The,14.7,-4.4,-3.3,104.65,25.152,10,13.80000019,251.52,10/1/10,493723100,0.2,104.65,25.152,0.418069,209751,10/1/10,10/1/10,50859.00,99.75772772,0.75,9.681642739,0.124519889,12-Oct,Priced Within Range,1,1,31,1
KIDS,OrthoPediatrics Corp,37.9,-16.5,2.5,59.8,12.6444,13,47.84615326,164.377,10/12/17,68752L100,-0.6,59.8,12.6444,97.1511,22239300,10/1/17,10/1/17,55877.00,100.2302312,1.75,4.165125132,-0.06320421,14-Dec,Priced Within Range,0,22,61,1
KIN,Kindred Biosciences Inc,890.7,-51.6,-37.3,60.375,16.1728,7,70.7142868,113.21,12/12/13,494577109,-0.2,60.375,16.1728,16.2003,7365040,12/1/13,10/1/13,52544.00,100.6417272,0.75,6.837206606,-0.00858115,8-Jun,Priced Within Range,0,21,29,1
KIRK,Kirkland's Inc,2.7,3.9,-3.9,90,18.8715,15,-1,283.07,7/11/02,497498105,-2.2,90,18.8715,53.9478,6880700,7/1/02,7/1/02,46936.00,99.02668228,1.25,5.828127275,0.111172874,17 - 19,Priced Below Range,5,17,210,0
KITE,Kite Pharma Inc,28.4,-1204.6,-46.5,146.625,37.9916,17,70.58823395,645.86,6/20/14,49803L109,-3.4,146.625,37.9916,0.0489845,28099.8,6/1/14,4/1/14,52840.00,100.8107011,0.75,6.174444118,0.186212694,15 - 16,Priced Above Range,0,21,29,1
KLDO,Kaleido Biosciences Inc,13.2,-8178.2,-164.9,75,29.6329,15,-5.133333206,444.493,2/28/19,483347100,-1.8,75,29.6329,46.561,19845500,2/1/19,1/1/19,57100.00,99.72456638,3,3.848682249,0.422705314,20 - 22,Priced Below Range,0,21,29,0
KMI,Kinder Morgan Inc,41.9,10.7,3.6,3293.59,707,30,3.5,21210,2/11/11,49456B101,2.5,3293.59,707,65.7321,1477490000,2/1/11,1/1/11,50646.00,100.3052137,0.75,9.152159044,0.493136503,26 - 29,Priced Above Range,2,2,2,1
KMPH,KemPharm Inc,115.6,-29.8,-23,55.99,13.463,11,1.818181872,148.093,4/16/15,488445206,0.3,55.99,13.463,20.9672,7234720,4/1/15,4/1/15,54021.00,100.329222,0.75,5.52420878,0.203287325,14-Dec,Priced Below Range,0,21,29,1
KNL,Knoll Inc,-13.4,0.6,-0.3,190.532,47.8937,15,14,718.41,12/14/04,498904200,1.2,190.532,47.8937,18.1609,8978880,12/1/04,10/1/04,49623.00,100.4972747,3.25,5.46561248,-0.366492147,14 - 16,Priced Within Range,5,59,211,1
KNSL,Kinsale Capital Group Inc,39.1,23.8,6.4,105.6,20.9688,16,14.6875,335.501,7/28/16,49714P108,17.9,105.6,20.9688,93.9399,21681600,7/1/16,7/1/16,54549.00,99.20439166,1,4.892736309,-0.16181364,14 - 16,Priced Within Range,3,18,25,1
KNX,Knight-Swift Transportation Ho,28.3,12.3,8.3,872.85,139.467,11,0.909090936,1534.14,12/16/10,499049104,7.1,872.85,139.467,97.5961,156833000,12/1/10,10/1/10,50859.00,100.0833654,0.75,9.571029496,0.171844079,13 - 15,Priced Below Range,8,54,212,1
KONA,Kona Grill Inc,-12.3,-20.3,-43.9,31.625,5.29653,11,15.45454502,58.26,8/16/05,50047H201,-0.1,31.625,5.29653,10.563,1401050,8/1/05,7/1/05,50470.00,100.3998318,4.5,4.955369401,0.511770727,11-Oct,Priced Within Range,5,17,33,1
KOP,Koppers Holdings Inc,0.5,5,4.3,161,20.7142,14,12.5,290,2/1/06,50060P106,4.8,161,20.7142,97.2741,20328400,2/1/06,1/1/06,51200.00,101.1704712,5.5,4.870275357,0.201714574,14 - 16,Priced Within Range,6,14,133,1
KOS,Kosmos Energy Ltd,38.2,-7,9.6,621.328,375.69,18,1.333333373,6762.42,5/11/11,500688106,0.9,621.328,375.69,103.082,469945000,5/1/11,4/1/11,50897.00,100.0117096,0.75,9.203184599,0.470418753,16 - 18,Priced Within Range,2,28,43,1
KPTI,Karyopharm Therapeutics Inc,94.1,-59.1,-36.2,125.12,24.7496,16,0.3125,395.99,11/6/13,48576U106,-1.4,125.12,24.7496,91.7166,74432600,11/1/13,10/1/13,52544.00,100.6507643,0.75,7.112790148,-0.204242419,14 - 16,Priced Within Range,0,21,29,1
KRA,Kraton Corp,26,8.6,6.6,150.946,30.5962,13.5,0.074074075,413.05,12/17/09,50077C106,5.3,150.946,30.5962,44.4,14310300,12/1/09,10/1/09,49886.00,98.94790322,0.5,10.0976818,-0.176119817,16 - 18,Priced Below Range,6,14,75,1
KREF,KKR Real Estate Finance Trust,8,46.9,0.8,241.644,53.7118,20.5,7.951219559,1101.09,5/5/17,48251K100,2.2,241.644,53.7118,85.7359,59239200,5/1/17,4/1/17,55057.00,99.9020738,1.5,4.399948582,0.085472183,20.50 - 21.50,Priced Within Range,3,3,6,1
KRG,Kite Realty Group Trust,40,-21.6,-2.1,237.9,17.1483,13,0,222.93,8/11/04,49803T300,0.9,237.9,17.1483,106.056,232368000,8/1/04,7/1/04,49243.00,100.6961111,2.5,5.45422641,0.05279831,14 - 16,Priced Below Range,3,3,120,0
KRNY,Kearny Financial Corp/MD,-7.3,32,0.8,717.5,0,10,5.694001675,0,5/19/15,48716P108,1.1,717.5,0,77.0516,52062000,5/1/15,4/1/15,54021.00,100.231857,0.75,5.674303505,0.509723203,10-Oct,Priced Within Range,3,9,10,1
KRP,Kimbell Royalty Partners LP,49.8,25,15.5,90,16.3327,18,14.66666698,293.989,2/3/17,49435R102,2.2,90,16.3327,38.0697,24110200,2/1/17,1/1/17,54866.00,99.82153744,1.25,4.66429894,0.314611739,19 - 21,Priced Below Range,2,28,123,1
KRUS,Kura Sushi USA Inc,43.6,-15.8,-2.1,46.69,7.335,14,40.07143021,102.69,8/1/19,501270102,2.4,46.69,7.335,66.076,5807330,8/1/19,7/1/19,57845.00,99.29377063,2.75,3.719931819,-0.005066824,14 - 16,Priced Within Range,5,17,33,1
KTWO,K2M Group Holdings Inc,9,-14.4,-11.6,147.375,37.0859,15,0,556.29,5/8/14,48273J107,-0.3,147.375,37.0859,2.80751,1227920,5/1/14,4/1/14,52840.00,100.7710708,0.75,6.397136369,0.349260984,16 - 18,Priced Below Range,0,22,61,0
KYMR,Kymera Therapeutics Inc,114,-137.6,-24,199.75,44.5295,20,66.30000305,890.59,8/21/20,501575104,-2.6,199.75,44.5295,101.354,55607500,8/1/20,7/1/20,56484.00,98.41453353,0.25,8.302616451,0.315321052,16 - 18,Priced Above Range,0,21,29,1
LAB,Standard BioTools Inc,-5.4,-45.3,-51.2,86.2938,19.4234,13.5,3.85185194,262.22,2/10/11,34385P108,-0.5,86.2938,19.4234,77.5538,61497400,2/1/11,1/1/11,50646.00,100.3052137,0.75,9.152159044,0.493136503,13.50 - 15.50,Priced Within Range,8,31,213,1
LADR,Ladder Capital Corp,-5.7,15.8,1.9,259.038,50.6015,17,-0.05882353,860.23,2/6/14,505743104,0.6,259.038,50.6015,62.7404,79407000,2/1/14,1/1/14,52266.00,100.6382872,0.75,6.7788573,0.369790865,16 - 18,Priced Within Range,3,3,6,0
LAND,Gladstone Land Corp,32,4.6,0.4,56.7035,6.5302,15,0,97.95,1/29/13,376549101,1,56.7035,6.5302,48.1787,16719900,1/1/13,1/1/13,51998.00,100.0401909,0.75,8.002806341,0.295730419,15 - 15,Priced Within Range,3,3,50,0
LASR,nLight Inc,21.2,-10.9,-11.1,110.4,34.5212,16,68.4375,552.339,4/26/18,65487K100,-0.1,110.4,34.5212,94.9685,43027500,4/1/18,4/1/18,56512.00,100.6581149,2.25,4.024101718,0.397509156,13 - 15,Priced Above Range,8,52,214,1
LAUR,Laureate Education Inc,6,17.7,1.8,490,35,14,-5.357142925,490,2/1/17,518613203,-0.8,490,35,94.3077,155277000,2/1/17,1/1/17,54866.00,99.82153744,1.25,4.66429894,0.314611739,17 - 20,Priced Below Range,0,7,79,0
LAZ,Lazard Ltd,23.6,16.1,8.1,854.58,37.5,25,-4,937.5,5/5/05,N.A.,8.1,854.58,37.5,71.9592,81145600,5/1/05,4/1/05,50204.00,100.2702497,4,5.200249935,-0.102774923,25 - 27,Priced Within Range,3,26,76,0
LBC,Luther Burbank Corp,-5.7,50.9,1.1,150.204,55.9725,10.75,9.302325249,601.704,12/8/17,550550107,2,150.204,55.9725,15.3755,7853000,12/1/17,10/1/17,55877.00,100.3962325,2,4.150219646,-0.058783228,10.50 - 12.50,Priced Within Range,3,9,70,1
LBRT,Liberty Energy Inc,155.8,-7.2,8.5,248.894,70.8848,17,27.94117737,1205.04,1/12/18,53115L104,0.7,248.894,70.8848,99.3812,181032000,1/1/18,1/1/18,56195.00,100.4818485,2,4.134060502,0.544774545,14 - 16,Priced Above Range,2,29,46,1
LC,LendingClub Corp,91.8,2,5.1,1000.5,369.812,15,56.20000076,5547.18,12/11/14,52603A208,2.4,1000.5,369.812,83.4935,87742300,12/1/14,10/1/14,53464.00,100.70291,0.75,5.685242715,-0.567010091,14-Dec,Priced Above Range,3,26,152,1
LDOS,Leidos Holdings Inc,11.7,5.4,5.1,1293.75,86.25,15,21.20000076,1293.75,10/13/06,525327102,7.3,1293.75,86.25,87.772,119975000,10/1/06,10/1/06,51455.00,101.1917389,6.25,4.45357667,-0.542138985,13 - 15,Priced Within Range,1,1,31,1
LEAF,Leaf Group Ltd,36.8,-4.1,-4.3,173.995,83.3,17,33.23529434,1416.1,1/26/11,52177G102,0.4,173.995,83.3,28.9569,10433800,1/1/11,1/1/11,50646.00,100.2239092,0.75,9.228517755,0.476323005,14 - 16,Priced Above Range,4,8,9,1
LEGH,Legacy Housing Corp,11.7,25.2,15.7,55.2,24.6,12,0.25,295.2,12/14/18,52472M101,2.4,55.2,24.6,24.387,5951900,12/1/18,10/1/18,56851.00,99.94885468,3,3.955038353,-0.319396282,10.75 - 12.75,Priced Within Range,3,34,59,1
LEGN,Legend Biotech Corp,18.6,-430.1,-41.7,487.342,21.1888,23,60.86956406,487.342,6/5/20,52490G102,-0.7,487.342,21.1888,40.2116,65984000,6/1/20,4/1/20,52394.00,96.38894556,0.25,10.71621054,0.547204693,18 - 20,Priced Above Range,0,21,29,1
LENSF,Presbia PLC,50,-40071.4,-113.9,41.667,13.333,10,-18.5,133.33,1/29/15,N.A.,-0.9,41.667,13.333,14.437,2487450,1/1/15,1/1/15,53806.00,100.6141113,0.75,5.715426963,-0.470589237,13-Nov,Priced Below Range,0,22,61,0
LESL,Leslie's Inc,20.7,9.4,13.7,782,186.606,17,27.64705849,3172.31,10/29/20,527064109,0.9,782,186.606,145.353,266036000,10/1/20,10/1/20,57005.00,98.98453016,0.25,7.145794405,0.041493776,14 - 16,Priced Above Range,5,17,181,1
LEVI,Levi Strauss & Co,29.4,9.6,9.6,716.834,42.1667,17,31.8235302,716.834,3/21/19,52736R102,1.8,716.834,42.1667,93.0007,90012900,3/1/19,1/1/19,57100.00,99.65446855,3,3.861910727,0.564135836,14 - 16,Priced Above Range,5,25,38,1
LEVL,Level One Bancorp Inc,-2.9,32.1,1.3,38.64,7.5344,28,4.5,210.963,4/20/18,52730D208,7.2,38.64,7.5344,7.13804,555882,4/1/18,4/1/18,56512.00,100.6581149,2.25,4.024101718,0.397509156,27 - 29,Priced Within Range,3,9,44,1
LFT,Lument Finance Trust Inc,11.3,29,1.1,60.4995,7.38925,15,-3.333333254,110.84,3/22/13,55025L108,0.5,60.4995,7.38925,21.784,11378100,3/1/13,1/1/13,51998.00,100.2801151,0.75,7.574579728,0.261450858,15 - 15,Priced Within Range,3,3,6,0
LGIH,LGI Homes Inc,28.8,14,15.3,99,19.4134,11,17.27272797,213.55,11/7/13,50187T106,0.8,99,19.4134,96.7592,22535500,11/1/13,10/1/13,52544.00,100.6507643,0.75,7.112790148,-0.204242419,13 - 15,Priced Below Range,5,51,131,1
LGVW/U,Butterfly Network Inc,35.2,-51.8,-9,404,40.4,10,0,404,5/21/20,543195200,-1,404,40.4,0.157935,65385,5/1/20,4/1/20,52394.00,94.70713847,0.25,13.66734626,0.001950162,10-Oct,Priced Within Range,0,22,61,0
LHCG,LHC Group Inc,7.5,5.2,2.2,77.28,16.5919,14,22.1428566,232.29,6/9/05,50187A107,-3.2,77.28,16.5919,93.3278,28962400,6/1/05,4/1/05,50204.00,100.2962748,4.25,5.089785897,0.051440329,14-Dec,Priced Within Range,0,0,35,1
LINC,Lincoln Educational Services C,14.4,10.3,10.2,83.5485,24.711,20,0.850000024,494.22,6/22/05,533535100,1,83.5485,24.711,81.962,21519600,6/1/05,4/1/05,50204.00,100.2962748,4.25,5.089785897,0.051440329,19 - 21,Priced Within Range,0,7,79,1
LIQDQ,Liquid Holdings Group Inc,106.1,-971.4,-61.6,28.575,24.4581,9,-15.11111069,220.12,7/26/13,53633A101,-0.6,28.575,24.4581,1.54057,929462,7/1/13,7/1/13,52284.00,100.6172944,0.75,7.464771304,0.039399753,11-Sep,Priced Within Range,1,5,81,0
LKQ,LKQ Corp,12.5,8.3,9.8,104.65,19.1199,13,15.38461494,248.56,10/3/03,501889208,4.6,104.65,19.1199,113.68,303724000,10/1/03,10/1/03,48450.00,99.97283644,2,6.061424767,-0.107991361,13-Nov,Priced Within Range,5,58,197,1
LL,LL Flooring Holdings Inc,4.9,3.6,2.1,110,26.7521,11,-11.27272701,294.27,11/9/07,55003T107,1.3,110,26.7521,81.7832,23964000,11/1/07,10/1/07,52066.00,101.5178052,5,4.772251125,0.593961787,14-Dec,Priced Below Range,5,17,183,0
LMAT,LeMaitre Vascular Inc,19.3,17.4,7.1,38.5,15.2721,7,-11.4285717,106.9,10/19/06,525558201,1.6,38.5,15.2721,94.5968,20812100,10/1/06,10/1/06,51455.00,101.1917389,6.25,4.45357667,-0.542138985,10-Aug,Priced Below Range,0,22,61,0
LMND,Lemonade Inc,36,-187.9,-18.8,366.85,56.5462,29,139.3448334,1639.84,7/2/20,52567D107,-2.3,366.85,56.5462,35.9863,24889500,7/1/20,7/1/20,56484.00,97.81746245,0.25,9.875006693,0.50582435,26 - 28,Priced Above Range,3,18,25,1
LMNX,Luminex Corp,24.7,3.6,3.4,76.5,26.6761,17,34.55882263,453.49,3/30/00,5.50E+106,1.1,76.5,26.6761,1.47602,698334,3/1/00,1/1/00,45983.00,101.071946,5.34,4.089661605,0.824499411,17 - 19,Priced Within Range,0,22,61,1
LMPX,LMP Automotive Holdings Inc,180.3,-15.8,-7.9,13.225,8.6466,5,7.199999809,43.233,12/5/19,53952P101,-0.6,13.225,8.6466,0.429581,46862,12/1/19,10/1/19,58017.00,99.28850897,2.25,3.589843424,-0.090976953,6-May,Priced Within Range,5,17,51,1
LMRK,Landmark Infrastructure Partne,9.5,49.4,2.2,52.25,4.8027,19,0.473684222,89.3513,11/14/14,51508J108,1.6,52.25,4.8027,26.2536,6691790,11/1/14,10/1/14,53464.00,100.7732648,0.75,5.911112923,-0.539941794,19 - 21,Priced Within Range,3,34,59,1
LMST,Limestone Bancorp Inc,1.3,28.3,1.1,37.2,7.6217,24,-4.166666508,182.92,9/22/06,53262L105,2.9,37.2,7.6217,43.688,2900390,9/1/06,7/1/06,51155.00,101.105954,6.25,4.602876755,-0.490436488,23 - 26,Priced Within Range,3,9,91,0
LNKD,LinkedIn Corp,34.8,-5.5,-2.3,405.72,95.6747,45,109.4444427,4305.36,5/19/11,53578A108,6.2,405.72,95.6747,0.140194,169471,5/1/11,4/1/11,50897.00,100.0117096,0.75,9.203184599,0.470418753,42 - 45,Priced Within Range,4,8,159,1
LNTH,Lantheus Holdings Inc,25.2,-16.7,11,73.539,27.8453,6,12.83333302,167.072,6/25/15,516544103,0.8,73.539,27.8453,107.712,74140100,6/1/15,4/1/15,54021.00,100.1249321,0.75,5.350969219,0.350287,8.50 - 10.50,Priced Below Range,0,22,215,1
LOAK/U,Danimer Scientific Inc,24.1,-102.3,-8.6,200,20,10,-1.200000048,200,5/6/20,53804F202,-0.6,200,20,12.5664,2513290,5/1/20,4/1/20,52394.00,94.70713847,0.25,13.66734626,0.001950162,10-Oct,Priced Within Range,6,14,75,0
LOB,Live Oak Bancshares Inc,39.2,36.5,2.3,93.5,34.1549,17,12.17647076,580.633,7/23/15,53803X105,-2.7,93.5,34.1549,73.2272,32208500,7/1/15,7/1/15,54081.00,99.98278579,0.75,5.338603251,0.006704716,16 - 18,Priced Within Range,3,9,91,1
LOCO,El Pollo Loco Holdings Inc,6.6,6.4,3.3,123.215,36.9298,15,60.20000076,553.95,7/25/14,268603107,1.4,123.215,36.9298,94.5303,35022700,7/1/14,7/1/14,53340.00,100.8354317,0.75,6.275748001,-0.039019396,13 - 15,Priced Within Range,5,17,33,1
