,Issuer Ticker,Issuer Name,Sales - 1 Yr Growth,Profit Margin,Return on Assets,Offer Size (M),Shares Outstanding (M),Offer Price,Offer To 1st Close,Market Cap at Offer (M),Trade Date (US),cusip,Cash Flow per Share,Offer Size (M),Shares Outstanding (M),Instit Owner (% Shares Out),Instit Owner (Shares Held),Filing Term Price Range,Priced Range,Industry Sector,Industry Group,Industry Subgroup
2347,LPLA US,LPL Financial Holdings Inc,31.4,5.9,7.3,516.696,107.184,30,7.166666508,3215.52,11/18/2010,50212V100,5.6,516.696,107.184,114.618,91236400,27 - 30,Priced Within Range,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv
2348,LPSB US,LaPorte Bancorp Inc,5.9,24.1,0.8,12.9922,0,10,-8.100000381,0,10/15/2007,516651106,0.7,12.9922,0,100,5580120,10-Oct,Priced Within Range,Financial,Savings&Loans,S&L/Thrifts-Central US
2349,LPSN US,LivePerson Inc,28.1,-26.6,-21.6,32,29.3399,8,18.75,234.72,4/7/2000,538146101,0.0466482,32,29.3399,96.8037,72920300,10-Oct,Priced Below Range,Technology,Software,Enterprise Software/Serv
2350,LPTV US,Loop Media Inc,-49.6,-130.7,,0.9111,0,0,-1,0,12/18/2015,54352F206,-0.000444102,0.9111,0,0.596858,338396,0.10 - 0.10,,"Consumer, Cyclical",Entertainment,Music
2351,LQ US,La Quinta Holdings Inc,-2.5,15.5,4.6,747.787,123.66,17,0.705882371,2102.22,4/9/2014,50420D108,3.1,747.787,123.66,0.272246,159599,18 - 21,Priced Below Range,"Consumer, Cyclical",Lodging,Hotels&Motels
2352,LQDA US,Liquidia Corp,1637.8,-269,-36.3,53.1641,15.4024,11,0.909090936,169.426,7/26/2018,53635D202,-0.6,53.1641,15.4024,50.4493,32537300,12-Oct,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
2353,LQDT US,Liquidity Services Inc,25,19.7,24.8,88.4046,27.3296,10,22.89999962,273.3,2/23/2006,53635B107,1.9,88.4046,27.3296,69.4165,24701500,11-Sep,Priced Within Range,Communications,Internet,E-Commerce/Products
2354,LQMT US,Liquidmetal Technologies Inc,-18,-416.4,-9.3,78.4351,40.7642,15,0.200000003,611.46,5/22/2002,53634X100,-0.0029854,78.4351,40.7642,1.57518,14448900,15 - 17,Priced Within Range,Basic Materials,Mining,Non-Ferrous Metals
2355,LRFC US,Logan Ridge Finance Corp,-36.6,-11.4,-5.3,80,12.1974,20,-6,243.95,9/25/2013,541098109,30.3,80,12.1974,19.0387,516150,20 - 20,Priced Within Range,Financial,Investment Companies,Investment Companies
2356,LRMR US,Larimar Therapeutics Inc,,,-60.5,110.4,22.707,16,23.4375,363.31,6/19/2014,517125100,-2.4,110.4,22.707,85.7408,37099400,14 - 16,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
2357,LRN US,Stride Inc,9.7,6.3,5.6,124.2,27.2082,18,36.38888931,489.75,12/13/2007,86333M108,4.9,124.2,27.2082,120.008,51641300,16 - 18,Priced Within Range,"Consumer, Non-cyclical",Commercial Services,Schools
2358,LSBC US,Large Scale Biology Corp,,,-122.6,85,15.4774,17,28.6764698,263.12,8/10/2000,517053203,,85,15.4774,,,14-Dec,Priced Above Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
2359,LSBK US,Lake Shore Bancorp Inc,1.9,24.5,0.9,29.7563,0,10,7,0,4/4/2006,510700107,1.4,29.7563,0,6.61207,377376,,,Financial,Savings&Loans,S&L/Thrifts-Eastern US
2360,LSE US,CapLease Inc,-0.1,-1,0.3,241.5,0,10.5,27.7142849,0,3/19/2004,140288101,0.8,241.5,0,,,11-Sep,Priced Within Range,Financial,REITS,REITS-Diversified
2361,LSF US,Laird Superfood Inc,41.5,-64.8,-48.9,67.045,8.7735,22,85.45454407,193.017,9/23/2020,50736T102,-2.4,67.045,8.7735,10.933,1008310,21 - 22,Priced Within Range,"Consumer, Non-cyclical",Food,Food-Retail
2362,LTHM US,Livent Corp,45.8,0.1,12.5,391,146,17,-0.176470593,2482,10/11/2018,53814L108,0.1,391,146,97.0541,174090000,18 - 20,Priced Below Range,Basic Materials,Mining,Diversified Minerals
2363,LTRN US,Lantern Pharma Inc,,,-20.6,26.25,6.2176,15,-0.333333343,93.264,6/11/2020,51654W101,-0.9,26.25,6.2176,14.0398,1524310,15 - 17,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
2364,LTRX US,Lantronix Inc,81.3,-4.1,-5.1,60,38.7744,10,-20,387.744,8/4/2000,516548203,-0.2,60,38.7744,41.9954,15219100,14 - 16,Priced Below Range,Communications,Telecommunications,Networking Products
2365,LUMCQ US,Luminent Mortgage Capital Inc,-16.9,-235.4,-9.4,148.2,23.104,13,4.307692528,300.35,12/19/2003,550278303,1.5,148.2,23.104,0.0120139,5200,13 - 15,Priced Within Range,Financial,REITS,REITS-Mortgage
2366,LUMO US,Lumos Pharma Inc,36.9,-13230.4,-28.7,43.4,18.0219,7,1.142857194,126.153,11/11/2011,55028X109,-3.5,43.4,18.0219,39.8649,3339160,12-Oct,Priced Below Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
2367,LUNA US,Luna Innovations Inc,48,1.5,6.7,21,9.9863,6,0,59.92,6/2/2006,550351100,0.1,21,9.9863,52.8146,17408600,8-Jun,Priced Within Range,Communications,Telecommunications,Telecom Eq Fiber Optics
2368,LUNG US,Pulmonx Corp,47.9,-100.5,-23.2,218.5,35.4254,19,106.8947372,673.083,10/1/2020,745848101,-1.1,218.5,35.4254,106.398,39802800,17 - 18,Priced Above Range,"Consumer, Non-cyclical",Healthcare-Products,Medical Instruments
2369,LUXAU US,Lux Health Tech Acquisition Co,,,7.8,345,34.5,10,0.100000002,345,10/27/2020,55068A209,-0.0204219,345,34.5,1.60927,555198,10-Oct,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis
2370,LVGO US,Livongo Health Inc,148.7,-32.4,-4.8,408.523,92.8235,28,36.07143021,2599.06,7/25/2019,539183103,-1.1,408.523,92.8235,7.97048,8096850,24 - 26,Priced Above Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
2371,LVO US,LiveOne Inc,79.3,-37.5,-41.8,21.8408,50.1109,4,0,200.444,12/22/2017,53814X102,-0.1,21.8408,50.1109,24.137,21134200,14-Dec,Priced Below Range,Communications,Internet,Internet Content-Info/Ne
2372,LVOXU US,LiveVox Holdings Inc,16.2,-86.5,-27.2,250,25,10,0,250,3/8/2019,53838L209,-0.8,250,25,0.479576,119894,10-Oct,Priced Within Range,Technology,Software,Enterprise Software/Serv
2373,LVS US,Las Vegas Sands Corp,44,-22.7,9,794.048,350.589,29,60.55172348,10167.1,12/15/2004,517834107,-0.3,794.048,350.589,42.7873,326966000,24 - 26,Priced Above Range,"Consumer, Cyclical",Lodging,Casino Hotels
2374,LWSN US,Infor US LLC,5.4,-10.7,,223.3,90.94,14,13,1273.16,12/6/2001,52078P102,0.8,223.3,90.94,0.00439144,7200,13 - 15,Priced Within Range,Technology,Software,Enterprise Software/Serv
2375,LXNT US,Lexent Inc,-48.5,-40.6,-40.2,90,39.695,15,70.41666412,595.42,7/28/2000,52886Q102,-0.0372869,90,39.695,,,14-Dec,Priced Above Range,Communications,Telecommunications,Telecom Services
2376,LXRX US,Lexicon Pharmaceuticals Inc,-98.7,-29448.9,-68.1,220,47.5151,22,-14.77272701,1045.33,4/7/2000,528872302,-0.6,220,47.5151,82.6736,156026000,22 - 24,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
2377,LYFT US,Lyft Inc,35.6,-31.4,-26.6,2340,273.098,72,8.736110687,19663,3/29/2019,55087P104,-0.3,2340,273.098,85.9084,302683000,70 - 72,Priced Within Range,Communications,Internet,E-Commerce/Services
2378,LYRA US,Lyra Therapeutics Inc,,-15267.7,-44.7,64.4,12.9246,16,16,206.794,5/1/2020,55234L105,-1.9,64.4,12.9246,78.3784,24945500,14 - 16,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
2379,MA US,Mastercard Inc,23.4,46,26.8,2579.26,75.0178,39,17.94871712,2925.69,5/24/2006,57636Q104,9.5,2579.26,75.0178,92.9184,886258000,40 - 43,Priced Below Range,Financial,Diversified Finan Serv,Finance-Credit Card
2380,MAACU US,Montes Archimedes Acquisition,,,,410.718,41.0718,10,-1.600000024,410.718,10/7/2020,612657205,,410.718,41.0718,,,10-Oct,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis
2381,MAB US,Eaton Vance Massachusetts Muni,,,,23.25,0,15,0.06666667,0,11/25/2002,27828K108,,23.25,0,,,15 - 15,Priced Within Range,Funds,Debt Fund,Unclassified
2382,MACK US,Merrimack Pharmaceuticals Inc,,,-10.5,105.297,93.1388,7,-13.71428585,651.97,3/29/2012,590328209,-0.0162602,105.297,93.1388,64.6135,8664830,7-Jul,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
2383,MACUU US,Mallard Acquisition Corp,,,,110,11,10,-0.899999976,110,10/27/2020,561204207,-0.0888771,110,11,29.1932,4014060,10-Oct,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis
2384,MAIN US,Main Street Capital Corp,29.8,114.4,7.4,64.5,8.82673,15,0,132.4,10/5/2007,56035L104,-7.4,64.5,8.82673,20.4997,15836800,15 - 15,Priced Within Range,Financial,Investment Companies,Investment Companies
2385,MAKO US,MAKO Surgical Corp,21.5,-31.6,-44.8,51,18.4383,10,-8.199999809,184.38,2/14/2008,560879108,-0.6,51,18.4383,,,11-Oct,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Products,Medical Instruments
2386,MANF US,Manifold Capital Corp,,,-20.1,89.681,36.7623,13,-1.153846145,477.91,11/10/2006,56324R101,,89.681,36.7623,,,15 - 17,Priced Below Range,Diversified,Holding Companies-Divers,Diversified Operations
2387,MANT US,ManTech International Corp/VA,1.4,5.3,4.9,132.48,25.5333,16,13.8125,408.53,2/7/2002,564563104,5.2,132.48,25.5333,21.6507,8526520,14 - 16,Priced Within Range,Technology,Software,Enterprise Software/Serv
2388,MAPP US,MAP Pharmaceuticals LLC,,,-47.7,69,20.0224,12,11.25,240.27,10/5/2007,56509R108,,69,20.0224,,,14 - 16,Priced Below Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs
2389,MAQ/U US,Marathon Acquisition Corp,,,0.8,320.287,49.4109,8,0,395.29,8/25/2006,565756202,,320.287,49.4109,,,8-Aug,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis
2390,MASI US,Masimo Corp,8.3,18.5,8.2,232.97,54.6043,17,22.94117737,928.27,8/8/2007,574795100,4.8,232.97,54.6043,98.9578,52016800,16 - 18,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Products,Medical Products
2391,MASS US,908 Devices Inc,56.9,-52.5,-12.6,149.5,27.1758,20,145,543.516,12/18/2020,65443P102,-1,149.5,27.1758,91.4655,29004900,18 - 19,Priced Above Range,Industrial,Engineering&Construction,Engineering/R&D Services
2392,MAV US,Pioneer Municipal High Income,,,,307.5,0,15,0,0,10/15/2003,723762100,,307.5,0,44.4963,10641000,15 - 15,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds
2393,MAX US,MediaAlpha Inc,10.3,-0.8,-12.7,202.113,33.2056,19,67.68421173,630.906,10/28/2020,58450V104,0.7,202.113,33.2056,63.286,27282600,18 - 20,Priced Within Range,Communications,Internet,E-Commerce/Services
2394,MAXW US,MaxWorldwide Inc,-17.4,-122.7,-23.4,97.5,19.0791,15,57.08666611,286.187,1/27/2000,577940109,-0.8,97.5,19.0791,,,14-Dec,Priced Above Range,Communications,Internet,E-Marketing/Info
2395,MB US,MINDBODY Inc,31.3,-8.1,-8.9,100.1,7.15,14,-17.4285717,100.1,6/19/2015,60255W105,0.2,100.1,7.15,0.399546,182367,13 - 15,Priced Within Range,Technology,Software,Applications Software
2396,MBCQ US,MB Bancorp Inc/MD,17.7,53.6,1.6,21.6,0,10,4.5,0,12/30/2014,5.53E+108,0.4,21.6,0,18.1087,355042,10-Oct,Priced Within Range,Financial,Banks,Commer Banks-Eastern US
2397,MBH/U US,MBF Healthcare Acquisition Cor,,,0.1,172.5,26.5938,8,0.25,212.75,4/18/2007,552650202,0.0562777,172.5,26.5938,,,8-Aug,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis
2398,MBII US,Pro Farm Group Inc,15.4,-37.3,-25.6,65.55,17.631,12,14.58333302,211.57,8/2/2013,57165B106,-0.0569747,65.55,17.631,15.1803,27685600,14 - 17,Priced Below Range,Basic Materials,Chemicals,Agricultural Chemicals
2399,MBIN US,Merchants Bancorp/IN,14.3,52.1,1.9,115,28.6852,16,5,458.963,10/27/2017,58844R108,-1.1,115,28.6852,24.7357,10663400,17 - 19,Priced Below Range,Financial,Banks,Commer Banks-Central US
2400,MBRKQ US,MiddleBrook Pharmaceuticals In,,,-111.4,60,22.7604,10,0,227.6,10/17/2003,596087106,,60,22.7604,,,14-Dec,Priced Below Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs
2401,MBUU US,Malibu Boats Inc,31.1,12.9,20.8,100,10.1556,14,26.7857151,142.18,1/31/2014,56117J100,7.9,100,10.1556,114.903,23377400,13 - 15,Priced Within Range,"Consumer, Cyclical",Leisure Time,Recreational Vehicles
2402,MBVXQ US,MabVax Therapeutics Holdings I,,,-105,35,21.0674,7,0.892857134,147.47,8/11/2000,55414P702,-8.6,35,21.0674,0.0991667,9351,11-Sep,Priced Below Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
2403,MBVXQ US,MabVax Therapeutics Holdings I,,,-105,9.43818,5.3632,4.81,0.892857134,25.797,8/17/2016,55414P702,-8.6,9.43818,5.3632,0.0991667,9351,,,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
2404,MC US,Moelis & Co,63.3,23.7,17.7,186.875,15.2637,25,4.599999905,381.59,4/16/2014,60786M105,14.8,186.875,15.2637,104.175,66636400,26 - 29,Priced Below Range,Financial,Diversified Finan Serv,Finance-Invest Bnkr/Brkr
2405,MCB US,Metropolitan Bank Holding Corp,23,33.5,1.3,124.775,8.198,35,6.314285755,286.93,11/8/2017,591774104,3.8,124.775,8.198,86.8381,9492880,31 - 34,Priced Above Range,Financial,Banks,Commer Banks-Eastern US
2406,MCBF US,Monarch Community Bancorp Inc,,-21,-0.1,23.1437,0,10,16.79999924,0,8/30/2002,609045208,1.6,23.1437,0,,,,,Financial,Savings&Loans,S&L/Thrifts-Central US
2407,MCBK US,Madison County Financial Inc,,25.5,,41.4,0,10,48.90000153,0,10/4/2012,556777100,1.5,41.4,0,,,10-Oct,Priced Within Range,Financial,Savings&Loans,S&L/Thrifts-Central US
2408,MCBS US,Metrocity Bankshares Inc,35.9,44.7,2.2,29.2073,25.5299,13.5,-100,344.654,10/3/2019,59165J105,2.5,29.2073,25.5299,18.2205,4611390,14.50 - 16.50,Priced Below Range,Financial,Banks,Commer Banks-Southern US
2409,MCCC US,Mediacom Communications Corp,,,,380,90,19,0,1710,2/3/2000,58446K105,,380,90,,,16 - 19,Priced Within Range,Communications,Media,Cable/Satellite TV
2410,MCDT US,McDATA Corp,,,-4.5,350,25.1812,28,205.5803528,705.07,8/9/2000,580031102,,350,25.1812,,,24 - 26,Priced Above Range,Technology,Computers,Computers-Integrated Sys
2411,MCELQ US,Millennium Cell Inc,240.9,-1336.4,-88.9,30,27.5157,10,0,275.16,8/9/2000,60038B105,-0.1,30,27.5157,,,12-Oct,Priced Within Range,Energy,Energy-Alternate Sources,Energy-Alternate Sources
2412,MCEP US,Mid-Con Energy Partners LP,-7.7,-1,-10.4,111.78,18.45,18,0.277777791,332.1,12/15/2011,59560V208,7.6,111.78,18.45,0.162491,23255,19 - 21,Priced Below Range,Energy,Oil&Gas,Oil Comp-Explor&Prodtn
2413,MCFE US,McAfee Corp,23.2,44.2,19.1,740,163.072,20,-6.5,3261.45,10/22/2020,579063108,3,740,163.072,12.7461,23965300,19 - 22,Priced Within Range,Technology,Computers,Computer Data Security
2414,MCFT US,MasterCraft Boat Holdings Inc,34.6,8.2,20.3,104.731,17.2104,15,6.133333206,258.156,7/17/2015,57637H103,3.9,104.731,17.2104,105.053,18704000,13 - 15,Priced Within Range,"Consumer, Cyclical",Leisure Time,Recreational Vehicles
2415,MCGC US,MCG Capital Corp,-46.8,-77.7,1.5,227.375,13.375,17,-1.352941155,227.38,11/29/2001,58047P107,5,227.375,13.375,,,17 - 19,Priced Within Range,Financial,Investment Companies,Investment Companies
2416,MCHX US,Marchex Inc,4.4,-8.2,-10.3,29.9,12.2916,6.5,36.61538315,79.9,3/31/2004,56624R108,-0.1,29.9,12.2916,68.7835,26001600,7-Jun,Priced Within Range,Communications,Advertising,Advertising Services
2417,MCMJU US,Leafly Holdings Inc,,,-5.1,120,12,10,0,120,11/5/2019,58953M205,-0.4,120,12,,,10-Oct,Priced Within Range,"Consumer, Non-cyclical",Household Products/Wares,Consumer Products-Misc
2418,MCN US,Madison Covered Call & Equity,,,,276.064,0,15,0,0,7/28/2004,557437100,,276.064,0,17.6725,3712570,15 - 15,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds
2419,MCPIQ US,Molycorp Inc,-14.2,-127.1,-33.4,412.93,81.25,14,-8.214285851,1137.5,7/29/2010,608753109,-0.9,412.93,81.25,,,14 - 14,Priced Within Range,Basic Materials,Mining,Metal-Diversified
2420,MCRB US,Seres Therapeutics Inc,336.3,-45.2,-65.3,153.814,38.9487,18,185.5555573,681.014,6/26/2015,81750R102,0.0729312,153.814,38.9487,88.2242,109920000,15 - 17,Priced Above Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs
2421,MCRN US,Milacron Holdings Corp,1.9,3.3,2,294.026,67.002,20,-2.099999905,0,6/25/2015,59870L106,1.7,294.026,67.002,14.7008,10363400,20 - 22,Priced Within Range,Industrial,Hand/Machine Tools,Mach Tools&Rel Products
2422,MDAS US,MedAssets Inc,5.8,-2.8,-2,244.72,42.8617,16,28.125,685.79,12/13/2007,584045108,2.3,244.72,42.8617,,,14 - 16,Priced Within Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Whsle Drug Dist
2423,MDB US,MongoDB Inc,48,-35.1,-15.2,220.8,9.2682,24,33.625,1204.04,10/19/2017,60937P106,0.1,220.8,9.2682,103.028,70787800,20 - 22,Priced Above Range,Technology,Software,Computer Software
2424,MDCO US,Medicines Co/The,-86.3,-2006.4,-28.9,96,28.1962,16,35.546875,451.14,8/8/2000,584688105,-3.5,96,28.1962,29.7872,23739800,14 - 16,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
2425,MDGL US,Madrigal Pharmaceuticals Inc,,,-118.2,50,33.8174,10,-9.100000381,338.17,2/6/2007,558868105,-11.1,50,33.8174,92.5057,15821600,10-Oct,Priced Within Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs
2426,MDLA US,Medallia Inc,18.5,-31.1,-18.4,374.325,124.339,21,76.42857361,2611.12,7/19/2019,584021109,0.0114275,374.325,124.339,8.12774,13098400,16 - 18,Priced Above Range,Technology,Software,Applications Software
2427,MDLM US,Medley Management Inc,-31.9,-8,-6.3,108,6,18,-8.888889313,0,9/24/2014,58503T205,-0.4,108,6,6.02147,183364,20 - 22,Priced Below Range,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv
2428,MDLZ US,Mondelez International Inc,8,14.9,4.6,8680,1735,31,0.806451619,53785,6/13/2001,609207105,2.9,8680,1735,82.2549,1123290000,30 - 31,Priced Within Range,"Consumer, Non-cyclical",Food,Food-Confectionery
2429,MDSO US,Medidata Solutions Inc,16.8,8.1,4.1,101.43,23.2987,14,21.4285717,326.18,6/25/2009,58471A105,1.5,101.43,23.2987,2.64705,1653260,13-Nov,Priced Above Range,Technology,Software,Medical Information Sys
2430,MDTH US,MedCath Corp,,,,150,17.9755,25,3.480000019,449.39,7/23/2001,58404W109,,150,17.9755,7.02511,1429660,24 - 26,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Services,Medical-Hospitals
2431,MDWT US,Midwest Holding Inc,184.1,-55.3,-0.0487292,70,3.7376,70,-19.6428566,261.632,12/17/2020,59833J206,-6.7,70,3.7376,51.3904,1915820,70 - 74,Priced Within Range,Financial,Insurance,Life/Health Insurance
2432,MEC US,Mayville Engineering Co Inc,27.1,-1.6,0.6,106.25,19.6935,17,-3.117647171,334.789,5/9/2019,578605107,0.7,106.25,19.6935,49.0828,9901340,19 - 21,Priced Below Range,Industrial,Metal Fabricate/Hardware,Metal Processors&Fabrica
2433,MEDE US,MEDecision Inc,,,-10.6,47,14.9417,10,0,149.42,12/13/2006,58406P102,,47,14.9417,,,10-Oct,Priced Within Range,Technology,Software,Medical Information Sys
2434,MEDP US,Medpace Holdings Inc,23.3,15.9,15.6,185.15,40.6921,23,20.82608604,935.918,8/11/2016,58506Q109,7.3,185.15,40.6921,109.2,33961200,20 - 23,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Services,Medical Labs&Testing Srv
2435,MEG US,Montrose Environmental Group I,66.4,-4.6,-1.9,172.5,21.832,15,46.66666794,327.48,7/23/2020,615111101,1.4,172.5,21.832,111.644,33171200,15 - 17,Priced Within Range,Industrial,Environmental Control,Environ Consulting&Eng
2436,MEIP US,MEI Pharma Inc,16.9,-133.8,-30.9,15.6,56.686,7.5,0,425.14,12/18/2003,55279B202,-0.3,15.6,56.686,38.4142,51191100,4.50 - 6.50,Priced Above Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
2437,MEJ/U US,Santa Monica Media Corp,,,-0.7,100,0,8,-1.625,0,3/28/2007,802501205,0.0221922,100,0,,,8-Aug,Priced Within Range,Financial,Investment Companies,Investment Companies
2438,MELR US,Melrose Bancorp Inc,9.6,6.5,0.5,27.234,0,10,30.5,0,10/22/2014,585553100,0.7,27.234,0,,,10-Oct,Priced Within Range,Financial,Banks,Commer Banks-Eastern US
2439,MEMP US,Memorial Production Partners L,-20.5,-189.8,-21.8,182.4,16.6613,19,-1.105263114,316.56,12/9/2011,586048100,4.9,182.4,16.6613,,,19 - 21,Priced Within Range,Energy,Oil&Gas,Oil Comp-Explor&Prodtn
2440,MEMS US,MEMSIC Inc,-6.3,-1.5,-5.3,68.23,23.4387,10,2.5,234.39,12/14/2007,586264103,0.2,68.23,23.4387,,,13-Nov,Priced Below Range,Industrial,Electronics,Electronic Measur Instr
2441,MEMY US,Memory Pharmaceuticals Corp,23.5,-306.3,-110.6,40.25,19.4592,7,20,136.21,4/5/2004,58606R403,-0.4,40.25,19.4592,,,13 - 15,Priced Below Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs
2442,MEND US,Micrus Endovascular LLC,,,16.5,38.5,13.691,11,0.090909094,150.6,6/16/2005,59518V102,,38.5,13.691,,,14-Dec,Priced Below Range,"Consumer, Non-cyclical",Healthcare-Products,Medical Instruments
2443,MEP US,Midcoast Energy Partners LP,-30.8,-5,-1.9,382.95,25.3851,18,-3.277777672,456.93,11/7/2013,59564N103,5,382.95,25.3851,,,19 - 21,Priced Below Range,Energy,Pipelines,Pipelines
2444,MERU US,Meru Networks Inc,-14,-22.9,-50.4,75.6718,14.8982,15,27.79999924,223.47,3/31/2010,59047Q103,-0.5,75.6718,14.8982,,,13 - 15,Priced Within Range,Communications,Telecommunications,Networking Products
2445,MESA US,Mesa Air Group Inc,-7.6,3.2,-5.2,131.694,35.9251,12,-2.083333254,422.413,8/10/2018,590479135,3.7,131.694,35.9251,41.1313,14928700,14 - 16,Priced Below Range,"Consumer, Cyclical",Airlines,Airlines
2446,MET US,MetLife Inc,4.7,9.2,0.3,2878.5,831,14.25,8.771929741,11841.8,4/4/2000,59156R108,14.6,2878.5,831,101.795,798688000,13 - 15,Priced Within Range,Financial,Insurance,Multi-line Insurance
2447,META US,Meta Platforms Inc,37.1,33.3,16.5,16006.9,2138.08,38,0.610032916,81247.2,5/18/2012,30303M102,20.4,16006.9,2138.08,77.8534,1750670000,34 - 38,Priced Within Range,Communications,Internet,Internet Content-Entmnt
2448,METC US,Ramaco Resources Inc,67.7,14,27.2,81,39.0626,13.5,0.370370358,527.345,2/3/2017,75134P303,1.2,81,39.0626,63.2938,27926300,15-Dec,Priced Within Range,Energy,Coal,Coal
2449,MFAC/U US,BM Technologies Inc,42.9,17.9,10.7,169.289,16.9289,10,0.200000003,169.289,8/24/2018,58518F208,2.3,169.289,16.9289,4.37123,740000,10-Oct,Priced Within Range,Technology,Software,Applications Software
2450,MFB US,Maidenform Brands LLC,-1,5.5,5.4,246.736,23.4115,17,16.76470566,398,7/22/2005,560305104,1.3,246.736,23.4115,,,14 - 16,Priced Above Range,"Consumer, Cyclical",Apparel,Apparel Manufacturers
2451,MFD US,Macquarie/First Trust Global I,,,,179.5,0,20,0,0,3/26/2004,55607W100,,179.5,0,14.6741,1254260,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds
2452,MFGLQ US,MF Global Holdings Ltd,11.9,-3.6,-0.5,2921.39,119.632,30,-8.166666985,3588.96,7/19/2007,55277J108,-2.4,2921.39,119.632,0.0240901,39845,36 - 39,Priced Below Range,Financial,Diversified Finan Serv,Finance-Invest Bnkr/Brkr
2453,MFIC US,MidCap Financial Investment Co,-1.5,38.5,1.7,930,0,15,0,0,4/6/2004,03761U502,-0.04206,930,0,33.7912,22116800,,,Financial,Investment Companies,Investment Companies
2454,MFLO US,Moldflow Corp,,,4.9,39,9.0815,13,17.30769157,118.06,3/28/2000,608507109,,39,9.0815,,,14-Dec,Priced Within Range,Technology,Software,Applications Software
2455,MG US,Mistras Group Inc,14.2,0.5,0.6,125,26.4588,12.5,0.639999986,330.74,10/8/2009,60649T107,1.4,125,26.4588,57.4815,17184400,14 - 16,Priced Below Range,Industrial,Engineering&Construction,Engineering/R&D Services
2456,MGG US,Magellan Midstream Holdings LP,,,2.4,539,62.6465,24.5,-2.040816307,1534.84,2/9/2006,55907R108,,539,62.6465,,,23 - 25,Priced Within Range,Energy,Pipelines,Pipelines
2457,MGNI US,Magnite Inc,111.3,0.0138766,-3.6,116.799,35.7393,15,33.93333435,536.09,4/2/2014,55955D100,1,116.799,35.7393,70.0844,93481900,15 - 17,Priced Within Range,Communications,Internet,E-Marketing/Info
2458,MGNX US,MacroGenics Inc,-26.1,-260.9,-64.8,92,24.7717,16,56.1875,396.35,10/10/2013,556099109,-2.4,92,24.7717,132.218,81281300,16 - 16,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
2459,MGP US,MGM Growth Properties LLC,-1.3,26.2,2.1,1207.5,57.5,21,4.809523582,1050,4/20/2016,55303A105,4.5,1207.5,57.5,30.618,47994700,18 - 21,Priced Within Range,Financial,REITS,REITS-Hotels
2460,MGRM US,Monogram Biosciences Inc,,,-54.3,35,19.6874,7,4.464285851,137.81,5/2/2000,60975U207,,35,19.6874,,,8-Jul,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
2461,MGTA US,Magenta Therapeutics Inc,,,-40.8,100.001,34.3703,15,-3.200000048,515.554,6/21/2018,55910K108,-1,100.001,34.3703,93.9645,56900700,14 - 16,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
