,Date,Company Name,Ticker,Sector,Price ($),Size (M),1,2,3,Rank,Turnover,Gain,Year
78,Jun 5,DAVIDsTEA Inc.,DTEA,Consumer-Non-Durables,19.0,5,GS,JPM,,,151.2%,42.1%,2015
79,May 21,Baozun Inc.,BZUN,Consumer-Services,10.0,11,BAML,CS,MS,,86.8%,4.4%,2015
80,May 21,,,,19.0,6,EVCR,SNDL,SNTR,,17.9%,3.9%,2015
81,May 21,Shopify Inc.,SHOP,Technology,17.0,7,CS,MS,RBC,,159.8%,51.1%,2015
82,May 15,Fortress Transportation and Infrastructure Investors LLC,FTAI,,17.0,20,BRCL,BAML,CITI,,52.6%,-2.6%,2015
83,May 15,Arcadia Biosciences Inc.,RKDA,Basic-Industries,8.0,8,CS,JPM,PPRJ,,1%,1725%,2015
84,May 14,Galapagos NV,GLPG,Health-Care,42.1,6,COWN,CS,MS,,28.4%,20.1%,2015
85,May 13,Jaguar Health Inc.,JAGX,Health-Care,7.0,2,AGIS,BMO,GGNH,,1%,1352.7%,2015
86,May 12,,,,27.0,23,BRCL,GS,,,88.8%,21.9%,2015
87,May 12,BiondVax Pharmaceuticals Ltd.,BVXV,Health-Care,5.0,1,AGIS,,,,26%,-20.2%,2015
88,May 8,,,,19.0,7,BAML,JEFF,WLFG,,153.6%,25%,2015
89,May 7,Collegium Pharmaceutical Inc.,COLL,Health-Care,12.0,5,JEFF,PPRJ,,,24.2%,2.4%,2015
90,May 7,aTyr Pharma Inc.,LIFE,Health-Care,14.0,5,CITI,JPM,,,61.6%,6.8%,2015
91,May 6,HTG Molecular Diagnostics Inc.,HTGM,Capital-Goods,14.0,3,LRNK,,,,25.4%,-1.6%,2015
92,May 6,Adaptimmune Therapeutics plc,ADAP,Health-Care,17.0,11,BAML,COWN,LRNK,,73.8%,-5.9%,2015
93,May 5,OpGen Inc.,OPGN,Health-Care,6.0,2,MXIM,,,,1%,1920.8%,2015
94,May 1,Black Stone Minerals L.P.,BSM,Energy,19.0,22,BRCL,BAML,CITI,,78.4%,-4%,2015
95,Apr 30,Blueprint Medicines Corporation,BPMC,Health-Care,18.0,8,COWN,GS,,,87.9%,4.8%,2015
96,Apr 29,Enviva Partners LP,EVA,Basic-Industries,20.0,10,BRCL,CITI,GS,,96.8%,7.5%,2015
97,Apr 29,Viking Therapeutics Inc.,VKTX,Health-Care,8.0,3,LDLW,OPPN,ROTH,,14.5%,12%,2015
98,Apr 23,,,,13.0,20,JEFF,MS,WLFG,,55.8%,0%,2015
99,Apr 16,Party City Holdco Inc.,PRTY,Consumer-Services,17.0,21,BAML,GS,,,87.9%,21.8%,2015
100,Apr 16,Virtu Financial Inc.,VIRT,Finance,19.0,16,GS,JPM,SNDL,,94.8%,16.7%,2015
101,Apr 16,KemPharm Inc.,KMPH,Health-Care,11.0,5,COWN,RBC,,,55.1%,1.8%,2015
102,Apr 16,Etsy Inc.,ETSY,Miscellaneous,16.0,16,GS,MS,,,118.5%,87.5%,2015
103,Apr 15,XBiotech Inc.,XBIT,Health-Care,19.0,4,HMBR,,,,25.6%,22.4%,2015
104,Apr 15,Cidara Therapeutics Inc.,CDTX,Health-Care,16.0,4,JEFF,LRNK,,,94%,0%,2015
105,Apr 15,,,,17.0,7,BAML,LRNK,,,98.2%,147.1%,2015
106,Apr 2,Kornit Digital Ltd.,KRNT,Capital-Goods,10.0,7,BRCL,CITI,,,43.2%,40%,2015
107,Apr 1,GoDaddy Inc.,GDDY,Technology,20.0,23,CITI,JPM,MS,,100.7%,30.8%,2015
108,Mar 26,,,,21.0,2,BAML,,,,34.5%,0%,2015
109,Mar 26,SolarEdge Technologies Inc.,SEDG,Technology,18.0,7,DB,GS,,,93.5%,15%,2015
110,Mar 25,Cellectis S.A.,CLLS,Health-Care,41.5,5,BAML,JEFF,PPRJ,,76.1%,-5.3%,2015
111,Mar 24,Tantech Holdings Ltd.,TANH,Basic-Industries,4.0,3,NWBR,VWTR,,,7.6%,100%,2015
112,Mar 19,,,,19.5,1,KBW,,,,34.6%,8.3%,2015
113,Mar 12,Summit Materials Inc.,SUM,Basic-Industries,18.0,22,CITI,GS,,,66.7%,11.8%,2015
114,Mar 5,Summit Therapeutics plc,SMMT,Health-Care,9.9,3,JMPS,OPPN,,,42.6%,2.9%,2015
115,Feb 19,,,,25.0,20,CITI,CS,DB,,1%,0.2%,2015
116,Feb 13,,,,6.0,683,AGIS,CHRD,,,15%,0%,2015
117,Feb 13,Great Ajax Corp.,AJX,Consumer-Services,14.3,5,FBR,NMRA,STRN,,26.3%,-1.8%,2015
118,Feb 13,Bellerophon Therapeutics Inc.,BLPH,Health-Care,12.0,5,COWN,LRNK,,,30.6%,-25.3%,2015
119,Feb 12,Invitae Corporation,NVTA,Health-Care,16.0,6,JPM,,,,105.7%,6.6%,2015
120,Feb 12,,,,27.0,22,CITI,GS,MS,,87.4%,0%,2015
121,Feb 6,Easterly Government Properties Inc.,DEA,Consumer-Services,15.0,12,CITI,RAYJ,RBC,,29.1%,3.3%,2015
122,Jan 30,TRACON Pharmaceuticals Inc.,TCON,Health-Care,10.0,3,Stifel,WLFG,,,35.5%,-6%,2015
123,Jan 30,,,,23.0,7,CS,JPM,,,101.6%,117.4%,2015
124,Jan 30,,,,23.0,20,BAML,CITI,,,69.6%,15.7%,2015
125,Jan 30,Avinger Inc.,AVGR,Health-Care,13.0,5,CNCD,COWN,,,1.4%,4053.8%,2015
126,Jan 30,Shake Shack Inc.,SHAK,Consumer Services,13.0,5,JPM,MS,,,325.3%,253.1%,2015
127,Jan 29,,,,10.0,4,JEFF,,,,47.4%,-18.5%,2015
128,Jan 29,,,,16.0,5,JEFF,PPRJ,,,96.5%,-6.6%,2015
129,Jan 28,Ascendis Pharma A/S,ASND,Health-Care,18.0,6,BAML,LRNK,,,58.5%,4.6%,2015
130,Jan 27,,,,11.0,4,LDNT,ROTH,WBSH,,1.7%,1901.8%,2015
131,Jan 23,Box Inc.,BOX,Technology,14.0,12,CS,JPM,MS,,340.5%,65.9%,2015
132,Jan 16,,,,15.8,1,RWB,STRN,,,55%,7.9%,2015
0,Dec 16,trivago N.V.,TRVG,Technology,11.0,26,JPM,GS,MS,,73.8%,7.7%,2016
1,Dec 14,,,,15.0,27,BRCL,BAML,CITI,,21.3%,0.4%,2016
2,Sep 12,,,,40.0,27,GS,BRCL,CITI,,52.5%,10.1%,2016
3,Sep 12,Ichor Holdings,ICHR,Technology,9.0,5,DB,Stifel,,,38.9%,8.6%,2016
4,Aug 12,SenesTech Inc.,SNES,Basic-Industries,8.0,1,ROTH,,,,20.2%,2%,2016
5,Jul 12,Polar Power Inc.,POLA,Miscellaneous,7.0,2,ROTH,JOGU,,,49.2%,28.6%,2016
6,Jan 12,Innovative Industrial Properties Inc.,IIPR,Finance,20.0,3,LDNT,CMPS,,,35%,-4.3%,2016
7,Jul 11,Smart Sand Inc.,SND,Basic-Industries,11.0,11,CS,GS,,,5.1%,0.6%,2016
8,Nov 18,,,,10.0,15,MS,,,,29%,-0.5%,2016
9,Nov 18,,,,7.0,2,HCW,SNTR,,,5%,-19.9%,2016
10,Feb 11,GDS Holdings Limited,GDS,Technology,10.0,19,CS,JPM,,,5.4%,-2.6%,2016
11,Oct 28,BlackLine Inc.,BL,Technology,17.0,8,GS,JPM,,,87.1%,39.4%,2016
12,Oct 28,Acushnet Holdings Corp.,GOLF,Consumer-Non-Durables,17.0,19,JPM,MS,,,35.8%,5.6%,2016
13,Oct 27,,,,10.0,48,CITI,,,,5.4%,0.5%,2016
14,Oct 27,ZTO Express (Cayman) Inc.,ZTO,Transportation,19.5,72,GS,MS,,,76.7%,-15%,2016
15,Oct 27,Myovant Sciences Ltd.,MYOV,Health-Care,15.0,15,BRCL,CITI,COWN,,37.8%,-11.6%,2016
16,Oct 26,,,,13.0,7,BMO,CS,JEFF,,55.1%,0%,2016
17,Oct 20,iRhythm Technologies Inc.,IRTC,Health-Care,17.0,6,JPM,MS,WLFG,,95.5%,53.2%,2016
18,Oct 20,,,,18.0,18,CITI,CS,GS,,46.7%,-8.3%,2016
19,Oct 19,CRISPR Therapeutics AG,CRSP,Health-Care,14.0,4,BRCL,CITI,PPRJ,,47.1%,0.6%,2016
20,Oct 14,Mammoth Energy Services Inc.,TUSK,Energy,15.0,7,BRCL,CS,,,76.1%,-11.6%,2016
21,Dec 10,Azure Power Global Limited,AZRE,Public-Utilities,18.0,3,BRCL,CS,,,94.7%,-18.9%,2016
22,Dec 10,,,,19.0,33,BRCL,CITI,CS,,59.2%,15%,2016
23,Nov 10,,,,10.0,30,CS,,,,25.8%,-1.4%,2016
24,Nov 10,,,,5.5,1K,WLBT,NONE,,,12.1%,-9.5%,2016
25,Jul 10,Camping World Holdings Inc.,CWH,Consumer-Durables,22.0,11,GS,JPM,,,100.7%,2.3%,2016
26,Jul 10,Everspin Technologies Inc.,MRAM,Technology,8.0,5,NDHM,Stifel,,,35.9%,2.5%,2016
27,Jun 10,,,,18.0,6,CITI,DB,RBC,,55.8%,21.9%,2016
28,Jun 10,,,,15.0,5,CNCD,Stifel,,,56.9%,0%,2016
29,Jun 10,,,,18.0,19,BRCL,CS,DB,,60.6%,11.1%,2016
30,Jun 10,,,,4.5,3,NONE,,,,2.9%,-6.9%,2016
31,Jun 10,Coupa Software Inc,COUP,,18.0,7,BRCL,JPM,MS,,226.5%,84.9%,2016
32,Sep 30,Nutanix Inc.,NTNX,Technology,16.0,14,GS,JPM,MS,,201.3%,131.3%,2016
33,Sep 29,Tabula Rasa HealthCare Inc.,TRHC,Miscellaneous,12.0,4,MS,UBS,WLFG,,82.6%,24%,2016
34,Sep 29,,,,12.0,19,CITI,JPM,FBR,,28.4%,-3.4%,2016
35,Sep 29,Fulgent Genetics Inc.,FLGT,Health-Care,9.0,4,CS,PPRJ,,,57.4%,2%,2016
36,Sep 28,,,,4.5,17,BONK,NONE,,,0.1%,541.8%,2016
37,Sep 23,Valvoline Inc.,VVV,Basic-Industries,22.0,30,BAML,CITI,MS,,117.7%,5%,2016
38,Sep 23,,,,13.0,6,CITI,GS,,,75.3%,21.2%,2016
39,Sep 23,AC Immune SA,ACIU,Health-Care,11.0,6,CS,JEFF,LRNK,,62.9%,42.4%,2016
40,Sep 23,,,,16.0,6,BAML,GS,JPM,,110.1%,40.9%,2016
41,Sep 22,CapStar Financial Holdings Inc.,CSTR,Finance,15.0,2,SNDL,,,,46.4%,6%,2016
42,Sep 22,e.l.f. Beauty Inc.,ELF,Consumer-Non-Durables,17.0,8,JPM,MS,,,163%,55.9%,2016
43,Sep 21,Novan Inc.,NOVN,Health-Care,11.0,4,PPRJ,,,,45.7%,64.5%,2016
44,Sep 21,The Trade Desk Inc.,TTD,Technology,18.0,4,CITI,JEFF,RBC,,134.4%,67.2%,2016
45,Sep 19,,,,1.0,20,,,,,0%,0%,2016
46,Sep 16,Everbridge Inc.,EVBG,Technology,12.0,7,BAML,CS,,,108.6%,27.1%,2016
47,Sep 16,FB Financial Corporation,FBK,Finance,19.0,5,JPM,KBW,UBS,,76.6%,9.2%,2016
48,Sep 16,,,,10.0,23,DB,GS,,,5.5%,0.5%,2016
49,Sep 16,Bank of N.T. Butterfield & Son Limited (The),NTB,Finance,23.5,10,GS,,,,46.5%,5.3%,2016
50,Sep 15,,,,22.5,12,BRCL,JPM,,,76%,16.4%,2016
51,Sep 14,,,,10.0,5,CHRD,MXIM,,,9.5%,0%,2016
52,Aug 19,,,,10.0,6,CHRD,MXIM,,,11.9%,-0.3%,2016
53,Dec 8,Airgain Inc.,AIRG,Technology,8.0,1,NLND,WUND,,,56.6%,0%,2016
54,Nov 8,Medpace Holdings Inc.,MEDP,Health-Care,23.0,7,CS,JEFF,,,6.8%,21.9%,2016
55,Nov 8,Protagonist Therapeutics Inc.,PTGX,Health-Care,12.0,7,BRCL,BMO,,,21.8%,-2.5%,2016
56,May 8,Atomera Incorporated,ATOM,Technology,7.5,3,NTNL,,,,4.4%,7.7%,2016
57,May 8,,,,10.0,3,COWN,JEFF,RBC,,22.4%,-8%,2016
58,Apr 8,,,,15.0,8,BAML,GS,,,102%,0%,2016
59,Apr 8,First Hawaiian Inc.,FHB,Finance,21.1,23,BAML,GS,,,50.7%,14.9%,2016
60,Jul 29,,,,6.5,1,RDMN,,,,21.1%,-23.2%,2016
61,Jul 29,,,,5.5,1,AXND,,,,4.3%,8.2%,2016
62,Jul 29,,,,18.0,5,CITI,GS,JPM,,97.7%,41.7%,2016
63,Jul 28,Tactile Systems Technology Inc.,TCMD,Health-Care,10.0,4,CNCD,PPRJ,WB,,39.2%,10.8%,2016
64,Jul 28,Kinsale Capital Group Inc.,KNSL,Finance,16.0,6,JPM,WB,,,74.5%,14.7%,2016
65,Jul 27,,,,12.0,6,CITI,JEFF,,,108.7%,-19.2%,2016
66,Jul 22,TPI Composites Inc.,TPIC,Energy,11.0,6,JPM,MS,,,51.2%,23.3%,2016
67,Jul 21,Impinj Inc.,PI,Capital-Goods,14.0,4,PPRJ,RBC,,,98.9%,28.4%,2016
68,Jul 21,,,,21.0,29,JPM,MS,UBS,,0%,-100%,2016
69,Jul 20,,,,15.0,5,BAML,COWN,PPRJ,,54.8%,0.9%,2016
70,Jul 15,Conyers Park Acquisition Corp,CPAAU,,10.0,37,DB,GS,,,0%,-100%,2016
71,Jul 15,,,,21.0,18,MS,CS,BRCL,,0%,-100%,2016
72,Jul 14,,,,32.8,35,MS,,,,82.6%,26.6%,2016
73,Aug 7,,,,4.5,2,AXOM,JOGU,WPRK,,30%,-18.2%,2016
74,Jul 7,,,,10.0,15,CNTR,,,,21.6%,-3.7%,2016
75,Jun 30,Syros Pharmaceuticals Inc.,SYRS,Health-Care,12.5,4,COWN,PPRJ,,,22%,45.2%,2016
76,Jun 29,Global Medical REIT Inc.,GMRE,Consumer-Services,10.0,13,OPPN,WUND,,,11.9%,0.1%,2016
77,Jun 23,Twilio Inc.,TWLO,Technology,15.0,10,GS,JPM,,,212.3%,91.9%,2016
78,Jun 22,Selecta Biosciences Inc.,SELB,Health-Care,14.0,5,Stifel,UBS,,,21.9%,0%,2016
79,Jun 16,PB Financial Corporation,PBNC,,34.0,740,RAYJ,,,,4%,1.8%,2016
80,Jun 14,Viveve Medical Inc.,VIVE,Health-Care,5.0,2,CHLM,LDNT,,,12.8%,-1%,2016
81,Oct 6,China Online Education Group,COE,Consumer-Services,19.0,2,CS,MS,,,65.6%,-0.1%,2016
82,Oct 6,Atkore International Group Inc.,ATKR,Miscellaneous,16.0,12,CS,DB,JPM,,50.7%,0%,2016
83,Mar 6,Sensus Healthcare Inc.,SRTS,Health-Care,5.5,2,NTKR,NLND,JOGU,,0%,-100%,2016
84,Feb 6,Clearside Biomedical Inc.,CLSD,Health-Care,7.0,7,COWN,RBC,Stifel,,27.5%,3.6%,2016
85,Feb 6,Moleculin Biotech Inc.,MBRX,Health-Care,6.0,1,BONK,NONE,,,30.4%,33.3%,2016
86,Feb 6,NantHealth Inc.,NH,Technology,14.0,6,COWN,JEFF,,,53.6%,32.8%,2016
87,May 26,,,,19.0,12,GS,JPM,,,99.4%,-9.9%,2016
88,May 26,GMS Inc.,GMS,Consumer-Services,21.0,7,BRCL,CS,,,81.4%,4.3%,2016
89,May 26,,,,10.0,25,DB,JEFF,,,18.5%,0%,2016
90,May 26,Reata Pharmaceuticals Inc.,RETA,Health-Care,11.0,5,CITI,COWN,,,37.2%,18.8%,2016
91,May 26,US Foods Holding Corp.,USFD,Consumer-Non-Durables,23.0,4,GS,JPM,MS,,648.6%,8.3%,2016
92,May 24,Midland States Bancorp Inc.,MSBI,Finance,22.0,3,KBW,SNDL,,,48.8%,-0.5%,2016
93,May 20,,,,10.0,60,BAML,CITI,CS,,9.4%,-0.1%,2016
94,May 19,Merus N.V.,MRUS,Health-Care,10.0,5,CITI,JEFF,GGNH,,18.7%,0.4%,2016
95,May 19,,,,0.5,3,,,,,0.1%,100%,2016
96,May 19,Grupo Supervielle S.A.,SUPV,Finance,11.0,25,BAML,MS,,,27.8%,4.5%,2016
97,May 18,Pulse Biosciences Inc,PLSE,Health-Care,4.0,5,MDBC,FLTI,,,12.5%,4.3%,2016
98,May 18,,,,5.0,3,LDLW,ROTH,,,12.5%,0.4%,2016
99,May 13,,,,6.0,5,BRCL,JEFF,,,0%,-100%,2016
100,May 13,,,,23.0,4,BAML,DB,GS,,93.1%,34.6%,2016
101,Dec 5,SiteOne Landscape Supply Inc.,SITE,Consumer-Non-Durables,21.0,10,DB,GS,UBS,,64.4%,27%,2016
102,Nov 5,Turning Point Brands Inc.,TPB,Consumer-Non-Durables,10.0,5,COWN,FBR,,,37%,1.2%,2016
103,Jun 5,,,,12.0,0.9K,DWSN,WBSH,WB,,10.6%,-7.5%,2016
104,Jun 5,Intellia Therapeutics Inc.,NTLA,Health-Care,18.0,6,CS,JEFF,LRNK,,83.7%,22.8%,2016
105,Apr 28,Global Water Resources Inc.,GWRS,Public-Utilities,6.3,1,ROTH,,,,22.3%,0%,2016
106,Apr 28,,,,5.0,1,CRTC,BNCH,,,0%,-100%,2016
107,Apr 27,Red Rock Resorts Inc.,RRR,Consumer-Services,19.5,27,BAML,GS,JPM,,50%,-4.1%,2016
108,Apr 27,,,,13.5,7,JEFF,,,,32.3%,0%,2016
109,Apr 22,SecureWorks Corp.,SCWX,Technology,14.0,8,BAML,GS,JPM,,99.8%,0%,2016
110,Apr 21,,,,22.0,7,BRCL,BAML,GS,,66.5%,20.5%,2016
111,Apr 20,,,,21.0,50,JPM,MS,BAML,,59.2%,4.8%,2016
112,Jul 4,Aeglea BioTherapeutics Inc.,AGLE,Health-Care,10.0,5,BMO,COWN,UBS,,28.6%,-2.3%,2016
113,Jun 4,Datasea Inc.,DTSS,Technology,0.0,9,VWTR,,,,0%,3900%,2016
114,Mar 23,Corvus Pharmaceuticals Inc.,CRVS,Health-Care,15.0,4,COWN,CS,,,35%,-5%,2016
115,Mar 18,Senseonics Holdings Inc.,SENS,Capital-Goods,2.9,15,CNCD,LRNK,,,7.3%,0%,2016
116,Mar 17,Hutchison China MediTech Limited,HCM,Health-Care,13.5,7,BAML,DB,,,30.1%,-0.7%,2016
117,Nov 3,,,,10.0,8,ERLY,,,,0%,-100%,2016
118,Mar 3,,,,10.0,3,CHRD,MXIM,,,16.8%,-0.5%,2016
119,Mar 3,Syndax Pharmaceuticals Inc.,SNDX,Health-Care,12.0,4,CITI,MS,,,43.6%,0.1%,2016
120,Feb 24,,,,10.0,45,CITI,DB,DB,,0%,-100%,2016
121,Nov 2,,,,8.0,6,LRNK,RBC,,,33.8%,-17%,2016
122,Nov 2,,,,20.0,4,GS,JEFF,,,24.5%,-9.8%,2016
123,Mar 2,BeiGene Ltd.,BGNE,Health-Care,24.0,6,MS,GS,COWN,,31.3%,18%,2016
124,Mar 2,Editas Medicine Inc.,EDIT,Health-Care,16.0,5,JPM,MS,,,70.5%,13.8%,2016
0,Dec 22,iClick Interactive Asia Group Limited,ICLK,Technology,8.0,3,ROTH,SNWN,,,32.6%,12.5%,2017
1,Dec 21,LexinFintech Holdings Ltd.,LX,Finance,9.0,12,GS,BAML,DB,,18.6%,18.9%,2017
2,Dec 20,Dogness (International) Corporation,DOGZ,Consumer-Durables,5.0,11,SPRT,,,,1.7%,20%,2017
3,Dec 15,Casa Systems Inc.,CASA,Technology,13.0,6,MS,BRCL,,,55.3%,10.8%,2017
4,Dec 15,Newmark Group Inc.,NMRK,,14.0,20,GS,BAML,CITI,,46.6%,-0.4%,2017
5,Aug 12,Denali Therapeutics Inc.,DNLI,Health-Care,18.0,13,GS,MS,JPM,,28.1%,19.2%,2017
6,Dec 8,Luther Burbank Corporation,LBC,Finance,10.2,12,KBW,SNDL,,,41.8%,15.8%,2017
7,Dec 7,CURO Group Holdings Corp.,CURO,Finance,14.0,6,CS,JEFF,STPH,,38.3%,1.4%,2017
8,Dec 7,,,,24.0,6,GS,JEFF,,,19.7%,-4.2%,2017
9,Dec 7,Quanterix Corporation,QTRX,Capital-Goods,15.0,4,JPM,LRNK,,,54.9%,16.5%,2017
10,Dec 1,,,,10.0,20,MS,,,,23.7%,-0.4%,2017
11,Nov 30,Boxlight Corporation,BOXL,Miscellaneous,7.0,1M,AGIS,AXOM,MRMN,,1.9%,14%,2017
12,Nov 29,ReTo Eco-Solutions Inc.,RETO,Capital-Goods,5.0,2.8M,VWTR,,,,10.8%,111.4%,2017
13,Nov 20,,,,10.0,6M,ERLY,,,,12.1%,0.1%,2017
14,Nov 17,,,,14.0,6.5M,Stifel,CS,,,45.5%,-7.1%,2017
15,Nov 17,,,,4.1,1.5M,LDNT,NLND,,,17.1%,-15.3%,2017
16,Nov 17,SailPoint Technologies Holdings Inc.,SAIL,Technology,12.0,20M,MS,CITI,JEFF,,78.1%,8.3%,2017
17,Nov 17,Sterling Bancorp Inc.,SBT,Finance,12.0,15M,SNDL,,,,34.6%,1.3%,2017
18,Nov 17,scPharmaceuticals Inc.,SCPH,Health-Care,14.0,6.4M,JEFF,LRNK,BMO,,15.6%,0.7%,2017
19,Nov 17,,,,6.0,2M,JOGU,,,,14.9%,-7.5%,2017
20,Nov 17,Stitch Fix Inc.,SFIX,Consumer-Services,15.0,8,GS,JPM,,,128.9%,1%,2017
21,Nov 3,ACM Research Inc.,ACMR,Technology,5.6,2,ROTH,,,,26.2%,8%,2017
22,Nov 3,,,,9.0,6,MS,BRCL,DB,,72.8%,5.7%,2017
23,Nov 2,Allena Pharmaceuticals Inc.,ALNA,Health-Care,14.0,5,CS,JEFF,COWN,,45.1%,-28.7%,2017
24,Nov 2,Evoqua Water Technologies Corp.,AQUA,Technology,18.0,27,CS,JPM,RBC,,51.3%,16%,2017
25,Nov 2,Funko Inc.,FNKO,Consumer-Non-Durables,12.0,10,GS,JPM,BAML,,93.9%,-41.1%,2017
26,Nov 2,Spero Therapeutics Inc.,SPRO,Health-Care,14.0,5,BAML,COWN,Stifel,,40.5%,-17.9%,2017
27,Nov 1,Altair Engineering Inc.,ALTR,Technology,13.0,12,JPM,RBC,DB,,62.8%,40.8%,2017
28,Nov 1,Loma Negra Compania Industrial Argentina Sociedad Anonima,LOMA,Capital-Goods,19.0,50,BAML,BRDS,CITI,,37.6%,12.4%,2017
29,Oct 27,,,,22.0,5,MS,JPM,CITI,,110.9%,15.9%,2017
30,Oct 27,Merchants Bancorp,MBIN,Finance,16.0,6,SNDL,STPH,RAYJ,,43.2%,5%,2017
31,Oct 27,Nexa Resources S.A.,NEXA,Basic-Industries,16.0,31,JPM,BMO,MS,,19.9%,8.7%,2017
32,Oct 26,,,,18.0,42,CITI,GS,MS,,43.5%,-4.2%,2017
33,Oct 26,National Vision Holdings Inc.,EYE,Health-Care,22.0,15,BAML,GS,CITI,,44.2%,26.5%,2017
34,Oct 25,,,,17.5,11,BAML,JPM,JEFF,,25%,28.6%,2017
35,Oct 20,,,,14.5,11,MS,CS,,,105%,14.6%,2017
36,Oct 20,Sea Limited,SE,Consumer-Services,15.0,59,GS,MS,CS,,63.7%,8.4%,2017
37,Oct 19,MongoDB Inc.,MDB,Technology,24.0,8,MS,GS,BRCL,,143.9%,33.6%,2017
38,Oct 19,RumbleOn Inc.,RMBL,Technology,5.5,2,ROTH,MXIM,,,23.8%,-7.5%,2017
39,Oct 18,Qudian Inc.,QD,Finance,24.0,37,MS,CS,CITI,,89.3%,21.6%,2017
40,Oct 13,OptiNose Inc.,OPTN,Health-Care,16.0,7,JEFF,PPRJ,BMO,,52.2%,18.8%,2017
41,Dec 10,CarGurus Inc.,CARG,Technology,16.0,9,GS,ALLN,RBC,,130.6%,72.4%,2017
42,Dec 10,OrthoPediatrics Corp.,KIDS,Health-Care,13.0,4,PPRJ,Stifel,,,72.1%,51.7%,2017
43,Dec 10,,,,7.0,3,NTNL,,,,78.3%,41.7%,2017
44,Jun 10,Switch Inc.,SWCH,Technology,17.0,31,GS,JPM,BMO,,142.3%,22.6%,2017
45,May 10,Rhythm Pharmaceuticals Inc.,RYTM,Health-Care,17.0,7,MS,BAML,COWN,,98.3%,76.5%,2017
46,Sep 29,,,,17.5,29,MS,GS,CITI,,35.3%,-1.4%,2017
47,Sep 28,Deciphera Pharmaceuticals Inc.,DCPH,Health-Care,17.0,7,JPM,PPRJ,,,77.2%,3.8%,2017
48,Sep 28,,,,14.0,5,JEFF,LRNK,BMO,,50.7%,71.4%,2017
49,Sep 28,NuCana plc,NCNA,Health-Care,15.0,6,CITI,JEFF,COWN,,27.9%,7.7%,2017
50,Sep 28,Roku Inc.,ROKU,Consumer-Services,14.0,15,MS,CITI,,,250.1%,67.9%,2017
51,Sep 27,,,,18.5,7,CS,MS,,,97.5%,40%,2017
52,Sep 22,Secoo Holding Limited,SECO,Consumer-Services,13.0,8,JEFF,,,,88.1%,-23.1%,2017
53,Sep 21,,,,17.0,7,MS,CITI,WLFG,,52.1%,-1.5%,2017
54,Sep 21,TDH Holdings Inc.,PETZ,Consumer-Non-Durables,4.3,1,VWTR,,,,18.3%,50.8%,2017
55,Sep 20,,,,10.0,45,CITI,CS,GS,,58.7%,5.2%,2017
56,Sep 20,Celcuity Inc.,CELC,Health-Care,9.5,2,CHLM,,,,50.3%,50.4%,2017
57,Sep 20,Despegar.com Corp.,DESP,Consumer-Services,26.0,12,MS,CITI,,,79.5%,22.2%,2017
58,Sep 20,Krystal Biotech Inc.,KRYS,Health-Care,10.0,4,LDNT,,,,11.4%,6.4%,2017
59,Sep 20,Zai Lab Limited,ZLAB,Health-Care,18.0,8,JPM,CITI,LRNK,,60.6%,55.2%,2017
60,Sep 14,,,,20.0,2,UBS,CITI,RBC,,58%,-13.6%,2017
61,Aug 11,Ranger Energy Services Inc.,RNGR,Energy,14.5,5,CS,SMNS,WLFG,,35.5%,-1.9%,2017
62,Aug 11,,,,5.5,7,COWN,STPH,GGNH,,49.6%,-11.8%,2017
63,Aug 3,Venator Materials PLC,VNTR,Basic-Industries,20.0,22,CITI,GS,BAML,,50.4%,3.2%,2017
64,Aug 2,,,,15.0,8,MS,LRNK,,,67.4%,9%,2017
65,Jul 28,,,,5.0,1,VWTR,,,,11.2%,78.6%,2017
66,Jul 28,Redfin Corporation,RDFN,Finance,15.0,9,GS,ALLN,BAML,,103.2%,44.7%,2017
67,Jul 27,,,,15.0,4,JPM,COWN,BMO,,56.7%,28.3%,2017
68,Jul 26,RBB Bancorp,RBB,Finance,23.0,3,SNDL,KBW,STPH,,53.6%,1.5%,2017
69,Jul 21,PetIQ Inc.,PETQ,Health-Care,16.0,6,OPPN,RAYJ,SNTR,,68.9%,45.8%,2017
70,Jul 20,Calyxt Inc.,CLXT,Basic-Industries,8.0,7,CITI,CS,JEFF,,20.1%,40.6%,2017
71,Jul 20,Kala Pharmaceuticals Inc.,KALA,Health-Care,15.0,6,JPM,BAML,,,65.4%,23.3%,2017
72,Jul 20,,,,20.0,11,BAML,CITI,GS,,51.8%,-2.1%,2017
73,Jul 14,,,,8.0,15,COWN,Stifel,WLFG,,35.5%,18.5%,2017
74,Jul 12,Co-Diagnostics Inc.,CODX,Health-Care,6.0,1,WLBT,NONE,,,18.5%,-3.2%,2017
75,Jun 30,Byline Bancorp Inc.,BY,Finance,19.0,5,BAML,KBW,,,61.3%,5.5%,2017
76,Jun 30,,,,7.0,8,MS,BAML,PRST,,35%,3.9%,2017
77,Jun 29,Aileron Therapeutics Inc.,ALRN,Health-Care,15.0,3,BAML,JEFF,,,57.1%,-28%,2017
78,Jun 29,Blue Apron Holdings Inc.,APRN,Consumer-Services,10.0,30,GS,MS,CITI,,136.9%,0%,2017
79,Jun 29,,,,17.0,4,JPM,JEFF,LRNK,,46.7%,16.5%,2017
